Ensayo,Piso,Tabique,Punto,Posición,Designacion,1,2,3,4,5,6,7,8,9,Media,Lecturas Válidas,Media lect válidas,Coef. Corr. Ángulo,Coef. Corr. Calibracion,Índice escler.
51,PB,1,3,Abajo,PB-1-3,53,52,51,53,52,52,54,50,52,52.11111111,9,52.11111111,0,0,52.11111111
52,PB,1,4,Abajo,PB-1-4,49,50,49,44,49,52,48,47,52,48.88888889,9,48.88888889,0,0,48.88888889
53,PB,1,5,Arriba,PB-1-5,49,50,46,48,52,43,48,48,48,48,8,48.625,0,0,48.625
54,PB,1,6,Arriba,PB-1-6,49,53,51,44,49,52,49,52,48,49.66666667,8,50.375,0,0,50.375
55,PB,1,7,Arriba,PB-1-7,46,52,50,52,46,48,40,52,53,48.77777778,8,49.875,0,0,49.875
56,PB,1,8,Arriba,PB-1-8,51,50,51,50,50,49,51,51,52,50.55555556,9,50.55555556,0,0,50.55555556
57,PB,2,1,Abajo,PB-2-1,38,40,40,35,38,38,36,36,40,37.88888889,9,37.88888889,0,0,37.88888889
58,PB,2,2,Abajo,PB-2-2,32,34,34,36,30,38,38,34,30,34,9,34,0,0,34
59,PB,2,3,Abajo,PB-2-3,34,33,28,30,24,38,36,33,34,32.22222222,7,32.57142857,0,0,32.57142857
60,PB,2,4,Abajo,PB-2-4,25,36,36,35,33,34,33,35,34,33.44444444,8,34.5,0,0,34.5
61,PB,2,5,Arriba,PB-2-5,38,34,40,40,40,44,42,40,38,39.55555556,8,40.25,0,0,40.25
62,PB,2,6,Arriba,PB-2-6,36,36,39,36,32,38,35,35,32,35.44444444,9,35.44444444,0,0,35.44444444
63,PB,2,7,Arriba,PB-2-7,28,27,38,32,32,32,26,24,32,30.11111111,7,29.85714286,0,0,29.85714286
64,PB,2,8,Arriba,PB-2-8,36,32,41,29,30,32,30,27,33,32.22222222,7,31.71428571,0,0,31.71428571
65,PP,4,1,Abajo,PP-4-1,50,50,48,50,46,50,45,48,42,47.66666667,8,48.375,0,0,48.375
66,PP,4,2,Abajo,PP-4-2,52,48,50,50,46,50,48,46,50,48.88888889,9,48.88888889,0,0,48.88888889
67,PP,4,3,Abajo,PP-4-3,52,54,50,52,54,50,50,52,46,51.11111111,8,51.75,0,0,51.75
68,PP,4,4,Abajo,PP-4-4,50,46,48,50,54,50,53,48,46,49.44444444,9,49.44444444,0,0,49.44444444
